,AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
AT,1,-0.493097884,-0.466288472,0.468975822,0.193577577,0.330111618,0.208276598,0.109436656,0.200908922,-0.390646714,-0.593580182
AP,-0.493097884,1,0.084381436,-0.094144292,-0.043730335,-0.081604506,-0.29014662,0.050325964,0.029420086,0.200944625,0.214236315
AH,-0.466288472,0.084381436,1,-0.24545608,-0.297708309,-0.260682689,0.026250874,-0.182731773,-0.221706329,0.158998553,0.065350733
AFDP,0.468975822,-0.094144292,-0.24545608,1,0.843957568,0.915127769,-0.519806706,0.884953803,0.922990643,-0.640788643,-0.584451864
GTEP,0.193577577,-0.043730335,-0.297708309,0.843957568,1,0.892851314,-0.620652007,0.932336818,0.938141616,-0.557177294,-0.366655153
TIT,0.330111618,-0.081604506,-0.260682689,0.915127769,0.892851314,1,-0.396161186,0.951812592,0.951590031,-0.738092268,-0.520080801
TAT,0.208276598,-0.29014662,0.026250874,-0.519806706,-0.620652007,-0.396161186,1,-0.633933487,-0.656612985,0.025768197,0.054455413
TEY,0.109436656,0.050325964,-0.182731773,0.884953803,0.932336818,0.951812592,-0.633933487,1,0.991207327,-0.616790975,-0.403277946
CDP,0.200908922,0.029420086,-0.221706329,0.922990643,0.938141616,0.951590031,-0.656612985,0.991207327,1,-0.612652625,-0.443092556
CO,-0.390646714,0.200944625,0.158998553,-0.640788643,-0.557177294,-0.738092268,0.025768197,-0.616790975,-0.612652625,1,0.678394017
NOX,-0.593580182,0.214236315,0.065350733,-0.584451864,-0.366655153,-0.520080801,0.054455413,-0.403277946,-0.443092556,0.678394017,1
