corrNOx_raw1,corrNOx_raw2,corrNOx_raw3,corrNOx_raw4,corrNOx_raw5,corrNOx_raw6
0,2011,2012,2013,2014,2015
0,-0.651207516492513,-0.566583777177778,-0.58168675343155,-0.656706452808729,-0.593580181628931
0,0.389865726566175,0.147930084862628,0.0968002103823757,0.378466470585728,0.214236315099306
0,0.20875589910107,0.0805752974019324,0.1825270418343,0.0706462808915474,0.0653507326306098
0,-0.0370482664698282,-0.0541302863470255,-0.386676963903494,-0.385284646161597,-0.584451863998201
0,-0.249617120876988,-0.157915015647335,-0.0244441663598999,-0.117417784159187,-0.366655152696219
0,-0.231984368193888,-0.226817056763503,-0.122997862242962,-0.236625905614905,-0.520080800979488
0,0.0875656765841699,-0.0931176251203558,-0.179357035398088,-0.227395329506012,0.0544554134285267
0,-0.126402118078735,-0.0667080960865724,0.0407656162373158,-0.0318782609148396,-0.403277946216852
0,-0.199862183222895,-0.125703958229136,-0.00535226225747305,-0.109881798029612,-0.443092555846183
0,1,1,1,1,1
